event_id,event_name,event_type_description,event_type_main,organizers,region_name,city_name,city_id,venue_id,venue_name,venue_address
10069,8a46d34a-e63a-4719-ade9-662a9c0777ac,спектакль,театр,№1643,Зоринский регион,Луговинск,66,3932,"Арт-коллектив ""Восход"" Инк","наб. Ручейная, д. 3/7 к. 46"
10100,8577e8fb-26fe-43d7-a400-1b3666c88a5d,спектакль,театр,№1644,Зоринский регион,Луговинск,66,1726,"Арт-объединение ""Фарфор"" Лтд","бул. Ростовский, д. 6/5 стр. 9"
10103,2ada5dc2-3fc7-4097-ba8b-dd0bb0c4a368,мюзикл,театр,№1647,Зоринский регион,Луговинск,66,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10106,184ca88b-4785-4dd6-a83e-fd1136bbed59,спектакль,театр,№1773,Тепляковская область,Горнодолинск,43,4581,"Клуб стендап-комедии ""Ода"" Лтд","ш. Машиностроителей, д. 94 стр. 1/2"
10108,b70d9592-2bb9-4f1f-afa4-38ec71ffc26a,спектакль,театр,№1773,Тепляковская область,Горнодолинск,43,4581,"Клуб стендап-комедии ""Ода"" Лтд","ш. Машиностроителей, д. 94 стр. 1/2"
10110,25074f30-655d-4969-bfec-8df42402f1f8,спектакль,театр,№1814,Тепляковская область,Горнодолинск,43,3960,"Образовательная программа ""Нота"" Групп","ш. Циолковского, д. 3/7"
10153,eb6fc70b-7884-41d4-8da8-11bdc1efb9e4,балет,театр,№3502,Серебринская область,Озёрчане,62,4023,"Училище искусств ""Трапеция"" Лимитед","алл. Революции, д. 53"
10154,c66dd4ac-a8a5-453b-a647-deed11adcef6,спектакль,театр,№3529,Серебринская область,Озёрчане,62,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10162,e9dca34b-9a36-44a0-8325-4111d24dd430,спектакль,театр,№3588,Яблоневская область,Светополье,39,3005,"Арт-кафе ""Аксессуар"" Лимитед","бул. Логовой, д. 94 к. 1/5"
10163,49741efb-1b53-48f0-bb0f-d285c26b0988,спектакль,театр,№1859,Каменевский регион,Глиногорск,213,4034,"Центр современного искусства ""Вектор"" Лтд","ш. Кедровое, д. 5 к. 629"
10178,9a9e996e-0774-499d-9292-27c679ccbd3a,мюзикл,театр,№4900,Североярская область,Озёрск,2,2073,"Киновидеостудия ""Ремесло"" Инкорпорэйтед","алл. Южная, д. 61"
10181,46c84f09-8712-4064-a5cc-e42b5d8aa451,мюзикл,театр,№4900,Североярская область,Озёрск,2,2073,"Киновидеостудия ""Ремесло"" Инкорпорэйтед","алл. Южная, д. 61"
10183,3146edf3-12d3-46dd-ae72-cb54e7a36a25,опера,театр,№4927,Североярская область,Озёрск,2,3685,"Центр культурного наследия ""Редкость"" Групп","пр. Мелиоративный, д. 9 к. 38"
10185,29882ecf-ecaf-4310-bf85-0cfd412186ba,опера,театр,№4927,Североярская область,Озёрск,2,3685,"Центр культурного наследия ""Редкость"" Групп","пр. Мелиоративный, д. 9 к. 38"
10203,1c17f7e2-95bc-41ec-95cb-02624d19e3bf,спектакль,театр,№1684,Каменевский регион,Глиногорск,213,2927,"Спектакль ""Сентябрь"" Лтд","ул. Красноярская, д. 6/3 стр. 761"
10222,07a00d5b-463e-4acd-900c-d2c8d8115ba1,спектакль,театр,№1684,Каменевский регион,Глиногорск,213,2930,"Арт-объединение ""Сделайка"" Инк","пер. Ясный, д. 3 стр. 913"
10225,71a3a2e2-c25b-491c-bf74-06857891d22c,спектакль,театр,№1684,Каменевский регион,Глиногорск,213,2930,"Арт-объединение ""Сделайка"" Инк","пер. Ясный, д. 3 стр. 913"
504447,01f02c52-2446-46be-8982-f02a6ceb4285,концерт,концерты,№1019,Глиногорская область,Теплоозеро,38,2715,"Творческая инициатива ""Радость"" Инк","бул. Тепличный, д. 75"
10229,7e589239-e102-4205-9e8b-5983de8874b0,спектакль,театр,№1684,Каменевский регион,Глиногорск,213,2927,"Спектакль ""Сентябрь"" Лтд","ул. Красноярская, д. 6/3 стр. 761"
10244,149d6a94-7ac5-4120-a44b-fc97a7fb0f96,спектакль,театр,№4888,Североярская область,Озёрск,2,3961,"Образовательная программа ""Воображение"" Инкорпорэйтед","пр. Бабушкина, д. 68 к. 280"
10255,60a6eb9d-a740-429a-a165-827d6f0fad48,спектакль,театр,№3722,Каменевский регион,Глиногорск,213,2903,"Клуб китаристов ""Canvas"" и партнеры","наб. Песочная, д. 8"
10261,da0fe054-c499-4baf-a038-3bc7d0cebe21,спектакль,театр,№1951,Каменевский регион,Глиногорск,213,3964,"Комикс-студия ""Света"" Лтд","пер. 60 лет Октября, д. 4/6 стр. 400"
10275,efbdaf38-2c23-439f-b6ee-75e166371cd4,спектакль,театр,№1826,Каменевский регион,Глиногорск,213,4035,"Выставка ремесел ""Платформа"" Групп","алл. Горняцкая, д. 573"
10280,ddcb52a1-c779-4988-9533-fd740c6b272f,спектакль,театр,№3722,Каменевский регион,Глиногорск,213,2904,"Концертный зал ""Мелодия"" и партнеры","алл. 8 Марта, д. 9 стр. 74"
10288,18f653d5-ad6b-4151-8862-f6fdad631dfc,мюзикл,театр,№1868,Каменевский регион,Глиногорск,213,4001,"Творческая ассоциация ""Clarity"" Инк","алл. Солнечная, д. 955 стр. 7/5"
10301,f226fff2-0446-45e3-b4b9-0797c2a1052d,спектакль,театр,№1867,Каменевский регион,Глиногорск,213,1018,"Гильдия художников ""Остров"" Инк","пер. Дачный, д. 463 стр. 31"
10304,8cbfd781-d70f-4b35-ac7c-a2ff23806c95,спектакль,театр,№3722,Каменевский регион,Глиногорск,213,2903,"Клуб китаристов ""Canvas"" и партнеры","наб. Песочная, д. 8"
10341,76926974-0644-4230-95ca-fba54d85122e,спектакль,театр,№5019,Каменевский регион,Глиногорск,213,3900,"Цирковая студия ""Солнце"" и партнеры","алл. Тупиковая, д. 29"
10348,915760d9-cc10-445e-8912-b92e17fe0ec8,спектакль,театр,№4967,Каменевский регион,Глиногорск,213,3439,"Креативное пространство ""Палитра"" Лимитед","пер. Гайдара, д. 9/3 стр. 354"
10356,c7282129-4a7a-44d0-bac1-a2d652faedb5,мюзикл,театр,№1858,Каменевский регион,Глиногорск,213,4017,"Студия анимации ""Точка"" Инкорпорэйтед","алл. Тамбовская, д. 7 к. 827"
10378,6a4fd339-45f6-4976-8247-487fcc4e8cee,спектакль,театр,№4913,Североярская область,Озёрск,2,3016,"Театр кукол ""Снег"" Инк","пер. Кузнечный, д. 73 стр. 4"
10379,c0e52ed1-aeac-4045-90f6-448ef9687e88,спектакль,театр,№4913,Североярская область,Озёрск,2,3016,"Театр кукол ""Снег"" Инк","пер. Кузнечный, д. 73 стр. 4"
10385,da0fe054-c499-4baf-a038-3bc7d0cebe21,спектакль,театр,№4917,Североярская область,Озёрск,2,1522,"Детский дом культуры ""Сквозняк"" Лимитед","алл. Белинского, д. 733 стр. 10"
10403,9c51ffaf-3df2-419e-8b92-e8d92a096cb1,спектакль,театр,№4925,Североярская область,Озёрск,2,2945,"Арт-лаборатория ""Протон"" и партнеры","бул. Декабристов, д. 315 к. 87"
10407,9d62223f-f4cd-4bf9-a397-3aa8078a2104,спектакль,театр,№4955,Тепляковская область,Горнодолинск,43,3937,"Детская театральная студия ""Образование"" Лимитед","ш. Буденного, д. 2 стр. 81"
10416,0b00291b-0af3-4226-978c-e839b545bcb7,спектакль,театр,№4912,Североярская область,Озёрск,2,1587,"Творческий форум ""Поток"" Групп","алл. Светлая, д. 8"
10436,4b3a3097-b880-4b58-92fe-97926eb1f44d,спектакль,театр,№2790,Речиновская область,Дальнесветск,65,2248,"Литературная мастерская ""Эксплорер"" Групп","бул. Приморский, д. 1 к. 441"
10441,9344e2bc-a634-44ec-b4f1-2523628281e6,спектакль,театр,№1612,Речиновская область,Дальнесветск,65,4290,"Спортивный клуб ""Мозаика"" Лтд","алл. Просвещения, д. 23"
10444,4ea560b5-ce09-44b0-b02b-cb35e17ff4c0,опера,театр,№1735,Яблоневская область,Светополье,39,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10447,800be12c-bb69-4558-affb-3557799c2e06,балет,театр,№1735,Яблоневская область,Светополье,39,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10449,0500e02c-adc1-4758-ad86-49f0c4f16028,спектакль,театр,№1735,Яблоневская область,Светополье,39,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10464,6facd23e-ee86-4581-b89c-f403612f7346,мюзикл,театр,№1945,Медовская область,Радужсвет,47,4030,"Научный центр ""Эпоха"" Инкорпорэйтед","пр. Волкова, д. 8/8 к. 4"
10478,7227af72-9f40-41ec-b92c-33aaa04e477e,мюзикл,театр,№1916,Речиновская область,Дальнесветск,65,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10483,5dcd5190-e2d0-4756-b31a-a5970d64242c,спектакль,театр,№1916,Речиновская область,Дальнесветск,65,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10488,749be917-16a1-44d5-9cc4-a3c27ac02227,спектакль,театр,№1726,Речиновская область,Дальнесветск,65,3293,"Молодежный клуб ""Калейдоскоп"" Инкорпорэйтед","пр. Магистральный, д. 97 стр. 740"
10489,65c9fcf6-7c9f-481e-85a7-8e9668313795,спектакль,театр,№1726,Речиновская область,Дальнесветск,65,3293,"Молодежный клуб ""Калейдоскоп"" Инкорпорэйтед","пр. Магистральный, д. 97 стр. 740"
10509,35734470-09ad-462a-a36b-a73721837e6c,спектакль,театр,№1721,Речиновская область,Дальнесветск,65,1748,"Дворец культуры ""Зеркало"" Инк","бул. Ленина, д. 9/5 стр. 70"
10511,9c51ffaf-3df2-419e-8b92-e8d92a096cb1,спектакль,театр,№1721,Речиновская область,Дальнесветск,65,1748,"Дворец культуры ""Зеркало"" Инк","бул. Ленина, д. 9/5 стр. 70"
10517,b3ad693c-0339-4753-9ff0-dffee638ac15,спектакль,театр,№1721,Речиновская область,Дальнесветск,65,1748,"Дворец культуры ""Зеркало"" Инк","бул. Ленина, д. 9/5 стр. 70"
10525,2b7879e9-9e35-4808-a804-f3dce4dc4a81,спектакль,театр,№1721,Речиновская область,Дальнесветск,65,1748,"Дворец культуры ""Зеркало"" Инк","бул. Ленина, д. 9/5 стр. 70"
10527,f60e717e-8279-4f93-9dce-a7e38cbf62d8,мюзикл,театр,№3640,Речиновская область,Дальнесветск,65,2373,"Школа театрального мастерства ""Полуостров"" Лимитед","пер. Смоленский, д. 18 к. 540"
11538,99090d4a-1553-49bd-83a9-de64cc70f80f,спектакль,театр,№4957,Каменевский регион,Глиногорск,213,2831,"Библиотека ""Мозаика"" Лимитед","ул. Степная, д. 97 стр. 7"
10543,141cc2fd-c694-48a8-8356-927b35e9a61f,спектакль,театр,№1752,Светополянский округ,Глиноград,54,3693,"Дом-музей ""Тепло"" и партнеры","алл. Студенческая, д. 567 стр. 9/5"
10548,111d5bb6-b0a8-46d4-b708-7ea2f5fd5d48,спектакль,театр,№1752,Светополянский округ,Глиноград,54,3693,"Дом-музей ""Тепло"" и партнеры","алл. Студенческая, д. 567 стр. 9/5"
10555,8a46d34a-e63a-4719-ade9-662a9c0777ac,спектакль,театр,№1752,Светополянский округ,Глиноград,54,3693,"Дом-музей ""Тепло"" и партнеры","алл. Студенческая, д. 567 стр. 9/5"
10562,7dc80c1f-c75d-47a8-8934-0a52e94a21a2,спектакль,театр,№4581,Каменевский регион,Глиногорск,213,3964,"Комикс-студия ""Света"" Лтд","пер. 60 лет Октября, д. 4/6 стр. 400"
10587,ddcb52a1-c779-4988-9533-fd740c6b272f,спектакль,театр,№1878,Каменевский регион,Глиногорск,213,2207,"Фестиваль искусств ""Цена"" Лтд","пр. Вольный, д. 100"
10590,0147eb16-7390-4c31-b2dd-28546aa4d94c,спектакль,театр,№1878,Каменевский регион,Глиногорск,213,2207,"Фестиваль искусств ""Цена"" Лтд","пр. Вольный, д. 100"
10617,b70d9592-2bb9-4f1f-afa4-38ec71ffc26a,мюзикл,театр,№1882,Каменевский регион,Глиногорск,213,3041,"Фестиваль уличного искусства ""Стиль"" и партнеры","пер. Водников, д. 115"
10626,0f10b15a-ff00-4a24-b056-83d42fde8a84,спектакль,театр,№1825,Каменевский регион,Глиногорск,213,4035,"Выставка ремесел ""Платформа"" Групп","алл. Горняцкая, д. 573"
10643,f30a4682-4cde-47b5-ac09-faa2b0b1e704,спектакль,театр,№1825,Каменевский регион,Глиногорск,213,4035,"Выставка ремесел ""Платформа"" Групп","алл. Горняцкая, д. 573"
10675,7596bae4-3432-4968-b9a3-dad4cb24fc07,спектакль,театр,№1800,Североярская область,Озёрск,2,4009,"Ремесленный центр ""Пегас"" Инк","алл. Виноградная, д. 28"
10679,dd2e4f7e-32ce-4b14-9b4c-0f917117ea6e,спектакль,театр,№4913,Североярская область,Озёрск,2,3016,"Театр кукол ""Снег"" Инк","пер. Кузнечный, д. 73 стр. 4"
10701,6a2716cb-47ac-4443-a1f2-f58e8ac931ce,спектакль,театр,№4915,Североярская область,Озёрск,2,3850,"Творческое объединение ""Ветер"" Инкорпорэйтед","пр. Тупиковый, д. 9 стр. 8"
10706,f8920372-5225-41e8-8704-367c91030dbc,опера,театр,№5024,Североярская область,Озёрск,2,2937,"Лаборатория по созданию комиксов ""Стоимость"" Групп","ул. Волочаевская, д. 44"
10712,1d64e4d3-ab6f-4041-9cf6-a1a58513e969,спектакль,театр,№3518,Светополянский округ,Глиноград,54,2622,"Библиотека ""График"" и партнеры","пер. Нагорный, д. 1"
10715,080873ea-0d83-4798-a26d-c164830d1c25,спектакль,театр,№3518,Светополянский округ,Глиноград,54,2622,"Библиотека ""График"" и партнеры","пер. Нагорный, д. 1"
10723,d52a79c6-ce0f-45de-8fd2-92e054af7fbd,спектакль,театр,№3518,Светополянский округ,Глиноград,54,2622,"Библиотека ""График"" и партнеры","пер. Нагорный, д. 1"
10724,129ff4d2-045f-4207-9529-1b762d38e01f,спектакль,театр,№3518,Светополянский округ,Глиноград,54,2622,"Библиотека ""График"" и партнеры","пер. Нагорный, д. 1"
10725,6701829d-e251-405c-bf58-acca65e46be1,спектакль,театр,№3518,Светополянский округ,Глиноград,54,2622,"Библиотека ""График"" и партнеры","пер. Нагорный, д. 1"
10729,b507c5ad-feec-4181-ad46-a72f4b80a25a,спектакль,театр,№3518,Светополянский округ,Глиноград,54,2622,"Библиотека ""График"" и партнеры","пер. Нагорный, д. 1"
10730,08515da1-98f6-40ac-8e15-255b40c2fbce,спектакль,театр,№3518,Светополянский округ,Глиноград,54,2622,"Библиотека ""График"" и партнеры","пер. Нагорный, д. 1"
10732,b70d9592-2bb9-4f1f-afa4-38ec71ffc26a,спектакль,театр,№3518,Светополянский округ,Глиноград,54,2622,"Библиотека ""График"" и партнеры","пер. Нагорный, д. 1"
10738,8a7fb969-fbb1-4976-ac18-5765e8955195,спектакль,театр,№1815,Озернинский край,Лесоярич,51,3939,"Этнографический музей ""Магнит"" Групп","наб. Полярная, д. 874"
10739,21895198-d513-4a6c-a760-f88bd76ff0c7,спектакль,театр,№1815,Озернинский край,Лесоярич,51,3939,"Этнографический музей ""Магнит"" Групп","наб. Полярная, д. 874"
10743,72b10519-f8c1-43cf-b2f5-aa3fd1d5f0d9,спектакль,театр,№5032,Североярская область,Озёрск,2,2549,"Ретро-театр ""Блеск"" Лтд","пер. Урицкого, д. 265"
10748,c363cd34-521b-4356-933b-a768fd640235,спектакль,театр,№5032,Североярская область,Озёрск,2,1513,"Академия искусств ""Наследие"" Лтд","пер. Горняцкий, д. 3 стр. 81"
10772,565cae4f-b564-4a3a-8b6a-437264e9e4c8,спектакль,театр,№3690,Каменевский регион,Глиногорск,213,3753,"Клуб искусств ""Чудо"" Лтд","наб. Карбышева, д. 25 стр. 6/6"
10793,24de2a62-0832-422f-8281-fefa7ec6de6d,спектакль,театр,№4915,Североярская область,Озёрск,2,3850,"Творческое объединение ""Ветер"" Инкорпорэйтед","пр. Тупиковый, д. 9 стр. 8"
10805,e3303702-1b88-4f20-834f-23808b869076,спектакль,театр,№4955,Тепляковская область,Горнодолинск,43,3937,"Детская театральная студия ""Образование"" Лимитед","ш. Буденного, д. 2 стр. 81"
10831,0ebca5ab-d9ea-418c-9559-8cea0450b47f,спектакль,театр,№1715,Широковская область,Радужнополье,35,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10832,bfa7eb3a-5cac-4987-965f-67ee4fe8153d,спектакль,театр,№1715,Широковская область,Радужнополье,35,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10835,7b6d6197-063d-41eb-a752-4986f4759197,балет,театр,№1714,Широковская область,Радужнополье,35,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10837,eb6fc70b-7884-41d4-8da8-11bdc1efb9e4,балет,театр,№1714,Широковская область,Радужнополье,35,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
10842,51ba9a57-0c7a-4db8-a269-2b86a93463d8,спектакль,театр,№1583,Светополянский округ,Глиноград,54,4078,"Гастрольный театр ""Эмоция"" Групп","наб. Гончарова, д. 480"
10876,95ab9a50-d898-4c18-8375-2d244510c8d5,спектакль,театр,№4882,Североярская область,Озёрск,2,3999,"Творческая ассоциация ""Ведро"" Лтд","ш. Лунное, д. 505 к. 546"
10877,88452ac2-e53c-4392-a714-c712374226b4,спектакль,театр,№4882,Североярская область,Озёрск,2,3999,"Творческая ассоциация ""Ведро"" Лтд","ш. Лунное, д. 505 к. 546"
10912,c8a6858d-1594-42d6-851c-c580dd621675,спектакль,театр,№1037,Горицветская область,Островецк,50,3896,"Заповедник ""Ода"" и партнеры","ул. Ленская, д. 1/6 к. 2"
10914,20be7743-67f2-4ffc-88e3-4486ee3c2829,спектакль,театр,№1037,Горицветская область,Островецк,50,3896,"Заповедник ""Ода"" и партнеры","ул. Ленская, д. 1/6 к. 2"
10961,2635a005-48ac-4f2e-bbb3-6508f736b0fa,спектакль,театр,№4581,Каменевский регион,Глиногорск,213,3964,"Комикс-студия ""Света"" Лтд","пер. 60 лет Октября, д. 4/6 стр. 400"
10975,7ffc0299-e510-40f8-b74b-0907d038b8cd,спектакль,театр,№1776,Каменевский регион,Глиногорск,213,2202,"Мастерская живого действия ""Zen"" и партнеры","пер. Вокзальный, д. 5/9 к. 9/4"
11008,0714435e-3b5f-4312-aa36-c3a9d8853ef4,балет,театр,№1955,Солнечнореченская область,Озёрово,172,4023,"Училище искусств ""Трапеция"" Лимитед","алл. Революции, д. 53"
11010,0714435e-3b5f-4312-aa36-c3a9d8853ef4,балет,театр,№1714,Широковская область,Радужнополье,35,3149,"Дворец культуры ""Скворечник"" Инк","пер. Кочубея, д. 7/7 к. 50"
11013,a4168125-8342-4185-8118-16749821fc10,спектакль,театр,№1797,Широковская область,Радужнополье,35,3975,"Кабинет Искусств ""История"" и партнеры","пр. Гайдара, д. 4 к. 7/1"
11021,8a46d34a-e63a-4719-ade9-662a9c0777ac,спектакль,театр,№1716,Широковская область,Радужнополье,35,3944,"Клуб любителей театра ""Гардероб"" Инкорпорэйтед","пер. Элеваторный, д. 8/6 к. 310"
11033,5dcd5190-e2d0-4756-b31a-a5970d64242c,спектакль,театр,№1805,Медовская область,Радужсвет,47,2246,"Клуб любителей музыки ""Дизайн"" Инк","ул. Раздольная, д. 92"
11041,46010b4a-31ae-4c42-b047-18f31623418b,спектакль,театр,№1790,Каменевский регион,Глиногорск,213,3963,"Клуб стендап-комедии ""Перфект"" Лимитед","наб. Камская, д. 42 стр. 65"
11074,25074f30-655d-4969-bfec-8df42402f1f8,спектакль,театр,№1847,Каменевский регион,Глиногорск,213,2831,"Библиотека ""Мозаика"" Лимитед","ул. Степная, д. 97 стр. 7"
11103,b1eb5d25-6c6c-4a64-a9b6-833cfd4e1d32,спектакль,театр,№1684,Каменевский регион,Глиногорск,213,2927,"Спектакль ""Сентябрь"" Лтд","ул. Красноярская, д. 6/3 стр. 761"
11104,ab85a893-c19a-4d20-99d0-6d77b2ccdab7,спектакль,театр,№1774,Тепляковская область,Горнодолинск,43,3959,"Эстетика ""Rhythm"" Инкорпорэйтед","ш. Вахитова, д. 7/8"
11107,a559eedb-6cc8-43f0-9e70-96872291cc4b,спектакль,театр,№1867,Каменевский регион,Глиногорск,213,1018,"Гильдия художников ""Остров"" Инк","пер. Дачный, д. 463 стр. 31"
11129,839e4930-6798-4ad7-8be4-9dafd24d7443,спектакль,театр,№1747,Травиницкий округ,Сосновечин,64,4230,"Фестивальный проект ""Листья"" Групп","пер. Проезжий, д. 9"
11141,6e46283a-dd20-4ddc-aff8-46a8143eee33,спектакль,театр,№4887,Североярская область,Озёрск,2,3971,"Академический ансамбль ""Уникал"" Лтд","пр. Луговой, д. 8 стр. 6"
11144,e10f1f6d-7116-4f4a-81e1-405474a77545,спектакль,театр,№1800,Североярская область,Озёрск,2,4009,"Ремесленный центр ""Пегас"" Инк","алл. Виноградная, д. 28"
11145,36eee297-ed27-4c3b-aade-bc2b30894ff2,спектакль,театр,№4887,Североярская область,Озёрск,2,3971,"Академический ансамбль ""Уникал"" Лтд","пр. Луговой, д. 8 стр. 6"
11156,77c5dd26-1557-4102-b863-e19755153da0,балет,ёлки,№4892,Североярская область,Озёрск,2,2993,"Молодежный культурный проект ""Смысл"" Инк","ш. Труда, д. 5"
11169,885d78a9-9788-4279-9f96-691d6dafbe98,спектакль,театр,№4999,Североярская область,Озёрск,2,3650,"Летний кинотеатр ""Лестница"" и партнеры","ш. Абрикосовое, д. 41 стр. 4"
11173,acc2a400-bd96-46f5-b3bb-c17199284567,спектакль,театр,№4911,Североярская область,Озёрск,2,3962,"Фестиваль искусств ""Лагуна"" Инк","ул. Кедровая, д. 55 стр. 9"
11186,7febc604-0d86-4349-a94f-43c5c63fa221,спектакль,театр,№4914,Североярская область,Озёрск,2,3194,"Клуб поэзии ""Стройка"" и партнеры","наб. Рабочая, д. 6 к. 5/3"
11188,0147eb16-7390-4c31-b2dd-28546aa4d94c,спектакль,театр,№4911,Североярская область,Озёрск,2,3962,"Фестиваль искусств ""Лагуна"" Инк","ул. Кедровая, д. 55 стр. 9"
11189,efdaa7cf-aac3-4c0d-9540-b69c14bbd18c,спектакль,театр,№4911,Североярская область,Озёрск,2,3962,"Фестиваль искусств ""Лагуна"" Инк","ул. Кедровая, д. 55 стр. 9"
11192,6d28baf0-0c4f-4ada-bd1e-b7e19f69cc84,балет,театр,№5024,Североярская область,Озёрск,2,2937,"Лаборатория по созданию комиксов ""Стоимость"" Групп","ул. Волочаевская, д. 44"
11193,117c2c01-bcdd-43e2-805f-8a88c3cfe3a3,спектакль,театр,№4900,Североярская область,Озёрск,2,2073,"Киновидеостудия ""Ремесло"" Инкорпорэйтед","алл. Южная, д. 61"
11194,a6ec3590-d352-459f-86a2-686d936c788a,спектакль,театр,№1144,Североярская область,Озёрск,2,3914,"Клуб фольклора ""Труд"" и партнеры","ул. Владимирская, д. 1 стр. 7"
11195,634b0852-0c3d-4141-95e8-adbe94200fbe,балет,театр,№5024,Североярская область,Озёрск,2,2937,"Лаборатория по созданию комиксов ""Стоимость"" Групп","ул. Волочаевская, д. 44"
11199,fae56f14-7366-48a8-9cc0-c4f8a3de00e2,спектакль,театр,№4895,Североярская область,Озёрск,2,3894,"Театр мюзикла ""Echo"" Инкорпорэйтед","наб. Восточная, д. 7 к. 5"
11200,0714435e-3b5f-4312-aa36-c3a9d8853ef4,балет,театр,№4880,Североярская область,Озёрск,2,1513,"Академия искусств ""Наследие"" Лтд","пер. Горняцкий, д. 3 стр. 81"
11201,2690028e-0310-4786-843c-56906a45f4c4,опера,театр,№5024,Североярская область,Озёрск,2,2938,"Музыкальная школа ""Заряд"" Лтд","ул. Красноармейская, д. 56 к. 31"
11211,32aaab11-12ea-403b-b2e4-85ff7f280982,спектакль,театр,№4999,Североярская область,Озёрск,2,3650,"Летний кинотеатр ""Лестница"" и партнеры","ш. Абрикосовое, д. 41 стр. 4"
11218,d3ee0339-fe24-4619-9718-9582414a9a81,спектакль,театр,№4902,Североярская область,Озёрск,2,3538,"Научный центр ""Птица"" Лимитед","ш. Отрадное, д. 406"
11219,753c8a5d-9d69-4927-8899-648bcfb6b874,спектакль,театр,№4999,Североярская область,Озёрск,2,3650,"Летний кинотеатр ""Лестница"" и партнеры","ш. Абрикосовое, д. 41 стр. 4"
